DATE,PNICKUSDM
1/1/90,7056
2/1/90,6977
3/1/90,9267
4/1/90,8939
5/1/90,8698
6/1/90,8422
7/1/90,9318
8/1/90,10957
9/1/90,10844
10/1/90,9145
11/1/90,8587
12/1/90,8158
1/1/91,8569
2/1/91,8672
3/1/91,8700
4/1/91,9023
5/1/91,8499.609375
6/1/91,8296.5
7/1/91,8515.201172
8/1/91,8154.75
9/1/91,7675.953125
10/1/91,7453.863281
11/1/91,7258.5
12/1/91,7140.263672
1/1/92,7531.136719
2/1/92,7888
3/1/92,7430.455078
4/1/92,7417.951172
5/1/92,7333.947266
6/1/92,7202.363281
7/1/92,7516.173828
8/1/92,7279.75
9/1/92,6918.572266
10/1/92,6322.5
11/1/92,5593.714844
12/1/92,5751.19043
1/1/93,5948.100098
2/1/93,6050.75
3/1/93,5974.913086
4/1/93,5987.5
5/1/93,5777.789551
6/1/93,5544.318359
7/1/93,5051.181641
8/1/93,4740.476074
9/1/93,4376.04541
10/1/93,4464.856934
11/1/93,4642.272949
12/1/93,5139.799805
1/1/94,5584.047852
2/1/94,5830.100098
3/1/94,5590.43457
4/1/94,5400.263184
5/1/94,6082.856934
6/1/94,6287.04541
7/1/94,6230.571289
8/1/94,5856.13623
9/1/94,6370.681641
10/1/94,6735.856934
11/1/94,7474.54541
12/1/94,8540.650391
1/1/95,9596.19043
2/1/95,8431.25
3/1/95,7522.391113
4/1/95,7405
5/1/95,7262.380859
6/1/95,7877.272949
7/1/95,8618
8/1/95,8931.818359
9/1/95,8397.25
10/1/95,8068.86377
11/1/95,8498.095703
12/1/95,8074.210449
1/1/96,7870.714355
2/1/96,8198.5
3/1/96,8046.399902
4/1/96,8047
5/1/96,8042.856934
6/1/96,7713.157715
7/1/96,7202.608887
8/1/96,7037.619141
9/1/96,7329.80957
10/1/96,7028.695801
11/1/96,6960.714355
12/1/96,6571.047852
1/1/97,7069.13623
2/1/97,7736.579102
3/1/97,7893.210449
4/1/97,7313.13623
5/1/97,7476
6/1/97,7060
7/1/97,6832.739258
8/1/97,6764.450195
9/1/97,6498.285645
10/1/97,6373.478027
11/1/97,6137.25
12/1/97,5942.380859
1/1/98,5489
2/1/98,5367.25
3/1/98,5397.04541
4/1/98,5391
5/1/98,5016.842285
6/1/98,4456.904785
7/1/98,4332.619141
8/1/98,4078
9/1/98,4100.90918
10/1/98,3870.45459
11/1/98,4117.25
12/1/98,3865.763184
1/1/99,4264
2/1/99,4623.25
3/1/99,5002.954545
4/1/99,5054.75
5/1/99,5395.789474
6/1/99,5194.772727
7/1/99,5696.363636
8/1/99,6431.428571
9/1/99,7029.090909
10/1/99,7317.619048
11/1/99,7946.818182
12/1/99,8073.235294
1/1/00,8315.25
2/1/00,9583.75
3/1/00,10255.4
4/1/00,9746.5
5/1/00,10122.91304
6/1/00,8384.318182
7/1/00,8174.809524
8/1/00,8038.434783
9/1/00,8624.809524
10/1/00,7650.636364
11/1/00,7350.590909
12/1/00,7318.8
1/1/01,6975.909091
2/1/01,6546.8
3/1/01,6165.181818
4/1/01,6363.111111
5/1/01,7086.47619
6/1/01,6674.333333
7/1/01,5962.545455
8/1/01,5525.636364
9/1/01,5057.65
10/1/01,4830.782609
11/1/01,5131.318182
12/1/01,5315.823529
1/1/02,6061.363636
2/1/02,6039.95
3/1/02,6543.2
4/1/02,6956.809524
5/1/02,6771.181818
6/1/02,7147.611111
7/1/02,7137.695652
8/1/02,6736.857143
9/1/02,6664.952381
10/1/02,6818.913043
11/1/02,7314.809524
12/1/02,7206.333333
1/1/03,8032.806818
2/1/03,8607.9
3/1/03,8339.619048
4/1/03,7930.525
5/1/03,8347.725
6/1/03,8839.02381
7/1/03,8831.7
8/1/03,9359.875
9/1/03,9995.772727
10/1/03,11040.28261
11/1/03,12052.375
12/1/03,14185.20952
1/1/04,15089.33333
2/1/04,15099.35
3/1/04,13786.54348
4/1/04,12725.9
5/1/04,11228.60526
6/1/04,13599.36364
7/1/04,15020.06818
8/1/04,13639.61905
9/1/04,13430.36364
10/1/04,14378.47619
11/1/04,14089.51227
12/1/04,13764.97619
1/1/05,14563.75
2/1/05,15415.6
3/1/05,16239.90476
4/1/05,16138.33333
5/1/05,17002.25
6/1/05,16113.18182
7/1/05,14587.59524
8/1/05,14962
9/1/05,14154.54545
10/1/05,12431.11905
11/1/05,12235.04545
12/1/05,13490.45
1/1/06,14660.80952
2/1/06,14974.5
3/1/06,14925.47826
4/1/06,18028.88889
5/1/06,21131.33333
6/1/06,20585.90909
7/1/06,26185.71429
8/1/06,30468.86364
9/1/06,29702.61905
10/1/06,32551.13636
11/1/06,31891.59091
12/1/06,34400.52632
1/1/07,36821.59091
2/1/07,41078.25
3/1/07,46125.22727
4/1/07,49956.57895
5/1/07,51783.33333
6/1/07,41551.66667
7/1/07,33400.22727
8/1/07,27649.63636
9/1/07,29548.4
10/1/07,31156
11/1/07,30505.63636
12/1/07,26053.55556
1/1/08,27774.77273
2/1/08,28064.95238
3/1/08,31093.05263
4/1/08,28776.81818
5/1/08,25656.5
6/1/08,22562.57143
7/1/08,20106.95652
8/1/08,19111.8
9/1/08,17781.86364
10/1/08,12144.86957
11/1/08,10776.5
12/1/08,9846.928571
1/1/09,11562.95238
2/1/09,10410.75
3/1/09,9710.727273
4/1/09,11331.6
5/1/09,12720.07895
6/1/09,14944.36364
7/1/09,16017.3913
8/1/09,19375.925
9/1/09,17404.63636
10/1/09,18489.47727
11/1/09,16911.33333
12/1/09,17121.61905
1/1/10,18405.55
2/1/10,19060.55
3/1/10,22467.17391
4/1/10,26028.5
5/1/10,21930
6/1/10,19411.29545
7/1/10,19548.52273
8/1/10,21448.78571
9/1/10,22690.13636
10/1/10,23793.67857
11/1/10,22836.22727
12/1/10,24099.57143
1/1/11,25621.225
2/1/11,28412.175
3/1/11,26710.34783
4/1/11,26332.16667
5/1/11,24164.55
6/1/11,22420.93182
7/1/11,23847.95238
8/1/11,21864.68182
9/1/11,20377.59091
10/1/11,19039.04762
11/1/11,17873
12/1/11,18246.0375
