DATE,DCOILWTICO
1/3/17,52.36
1/4/17,53.26
1/5/17,53.77
1/6/17,53.98
1/9/17,51.95
1/10/17,50.82
1/11/17,52.19
1/12/17,53.01
1/13/17,52.36
1/16/17,.
1/17/17,52.45
1/18/17,51.12
1/19/17,51.39
1/20/17,52.33
1/23/17,52.77
1/24/17,52.38
1/25/17,52.14
1/26/17,53.24
1/27/17,53.18
1/30/17,52.63
1/31/17,52.75
2/1/17,53.9
2/2/17,53.55
2/3/17,53.81
2/6/17,53.01
2/7/17,52.19
2/8/17,52.37
2/9/17,52.99
2/10/17,53.84
2/13/17,52.96
2/14/17,53.21
2/15/17,53.11
2/16/17,53.41
2/17/17,53.41
2/20/17,.
2/21/17,54.02
2/22/17,53.61
2/23/17,54.48
2/24/17,53.99
2/27/17,54.04
2/28/17,54
3/1/17,53.82
3/2/17,52.63
3/3/17,53.33
3/6/17,53.19
3/7/17,52.68
3/8/17,49.83
3/9/17,48.75
3/10/17,48.05
3/13/17,47.95
3/14/17,47.24
3/15/17,48.34
3/16/17,48.3
3/17/17,48.34
3/20/17,47.79
3/21/17,47.02
3/22/17,47.29
3/23/17,47
3/24/17,47.3
3/27/17,47.02
3/28/17,48.36
3/29/17,49.47
3/30/17,50.3
3/31/17,50.54
4/3/17,50.25
4/4/17,50.99
4/5/17,51.14
4/6/17,51.69
4/7/17,52.25
4/10/17,53.06
4/11/17,53.38
4/12/17,53.12
4/13/17,53.19
4/14/17,.
4/17/17,52.62
4/18/17,52.46
4/19/17,50.49
4/20/17,50.26
4/21/17,49.64
4/24/17,48.9
4/25/17,49.22
4/26/17,49.22
4/27/17,48.96
4/28/17,49.31
5/1/17,48.83
5/2/17,47.65
5/3/17,47.79
5/4/17,45.55
5/5/17,46.23
5/8/17,46.46
5/9/17,45.84
5/10/17,47.28
5/11/17,47.81
5/12/17,47.83
5/15/17,48.86
5/16/17,48.64
5/17/17,49.04
5/18/17,49.36
5/19/17,50.32
5/22/17,50.81
5/23/17,51.12
5/24/17,50.99
5/25/17,48.57
5/26/17,49.58
5/29/17,.
5/30/17,49.63
5/31/17,48.29
6/1/17,48.32
6/2/17,47.68
6/5/17,47.4
6/6/17,48.13
6/7/17,45.8
6/8/17,45.68
6/9/17,45.82
6/12/17,46.1
6/13/17,46.41
6/14/17,44.79
6/15/17,44.47
6/16/17,44.73
6/19/17,44.24
6/20/17,43.34
6/21/17,42.48
6/22/17,42.53
6/23/17,42.86
6/26/17,43.24
6/27/17,44.25
6/28/17,44.74
6/29/17,44.88
6/30/17,46.02
7/3/17,.
7/4/17,.
7/5/17,45.11
7/6/17,45.52
7/7/17,44.25
7/10/17,44.4
7/11/17,45.06
7/12/17,45.48
7/13/17,46.06
7/14/17,46.53
7/17/17,46.02
7/18/17,46.4
7/19/17,47.1
7/20/17,46.73
7/21/17,45.78
7/24/17,46.21
7/25/17,47.77
7/26/17,48.58
7/27/17,49.05
7/28/17,49.72
7/31/17,50.21
8/1/17,49.19
8/2/17,49.6
8/3/17,49.03
8/4/17,49.57
8/7/17,49.37
8/8/17,49.07
8/9/17,49.59
8/10/17,48.54
8/11/17,48.81
8/14/17,47.59
8/15/17,47.57
8/16/17,46.8
8/17/17,47.07
8/18/17,48.59
8/21/17,47.39
8/22/17,47.65
8/23/17,48.45
8/24/17,47.24
8/25/17,47.65
8/28/17,46.4
8/29/17,46.46
8/30/17,45.96
8/31/17,47.26
9/1/17,47.32
9/4/17,.
9/5/17,48.63
9/6/17,49.13
9/7/17,49.1
9/8/17,47.44
9/11/17,48.06
9/12/17,48.21
9/13/17,49.3
9/14/17,49.86
9/15/17,49.9
9/18/17,49.88
9/19/17,49.54
9/20/17,50.29
9/21/17,50.58
9/22/17,50.33
9/25/17,51.85
9/26/17,51.59
9/27/17,52.14
9/28/17,51.62
9/29/17,51.67
10/2/17,50.59
10/3/17,50.44
10/4/17,50
10/5/17,50.79
10/6/17,49.34
10/9/17,49.58
10/10/17,50.93
10/11/17,51.3
10/12/17,50.61
10/13/17,51.43
10/16/17,51.86
10/17/17,51.87
10/18/17,52.05
10/19/17,51.29
10/20/17,51.63
10/23/17,51.91
10/24/17,52.32
10/25/17,51.97
10/26/17,52.41
10/27/17,53.92
10/30/17,54.11
10/31/17,54.36
11/1/17,54.32
11/2/17,54.55
11/3/17,55.63
11/6/17,57.34
11/7/17,57.19
11/8/17,56.82
11/9/17,57.16
11/10/17,56.75
11/13/17,56.77
11/14/17,55.67
11/15/17,55.28
11/16/17,55.14
11/17/17,56.21
11/20/17,56.21
11/21/17,56.84
11/22/17,57.88
11/23/17,.
11/24/17,58.94
11/27/17,58.1
11/28/17,57.96
11/29/17,57.25
11/30/17,57.4
12/1/17,58.35
12/4/17,57.48
12/5/17,57.66
12/6/17,55.79
12/7/17,56.5
12/8/17,57.15
12/11/17,57.84
12/12/17,57.12
12/13/17,56.59
12/14/17,57
12/15/17,57.29
12/18/17,57.17
12/19/17,57.49
12/20/17,58.09
12/21/17,58.34
12/22/17,58.25
12/25/17,.
12/26/17,59.55
12/27/17,59.67
12/28/17,59.84
12/29/17,60.46
1/1/18,.
1/2/18,60.37
1/3/18,61.61
1/4/18,61.98
1/5/18,61.49
1/8/18,61.73
1/9/18,62.92
1/10/18,63.6
1/11/18,63.81
1/12/18,64.22
1/15/18,.
1/16/18,63.82
1/17/18,63.92
1/18/18,63.96
1/19/18,63.38
1/22/18,63.66
1/23/18,64.45
1/24/18,65.69
1/25/18,65.62
1/26/18,66.27
1/29/18,65.71
1/30/18,64.64
1/31/18,64.82
2/1/18,65.92
2/2/18,65.5
2/5/18,64.18
2/6/18,63.48
2/7/18,61.91
2/8/18,61.3
2/9/18,59.2
2/12/18,59.41
2/13/18,59.33
2/14/18,60.7
2/15/18,61.48
2/16/18,61.89
2/19/18,.
2/20/18,61.91
2/21/18,61.73
2/22/18,62.72
2/23/18,63.52
2/26/18,63.81
2/27/18,62.94
2/28/18,61.43
3/1/18,60.98
3/2/18,61.19
3/5/18,62.49
3/6/18,62.54
3/7/18,61.09
3/8/18,60.13
3/9/18,62.02
3/12/18,61.35
3/13/18,60.69
3/14/18,60.89
3/15/18,61.16
3/16/18,62.29
3/19/18,62.01
3/20/18,63.37
3/21/18,65.1
3/22/18,64.25
3/23/18,65.8
3/26/18,65.49
3/27/18,65.21
3/28/18,64.3
3/29/18,64.87
3/30/18,.
4/2/18,63.05
4/3/18,63.41
4/4/18,63.35
4/5/18,63.53
4/6/18,62.03
4/9/18,63.4
4/10/18,65.48
4/11/18,66.81
