DATE,SLVPRUSD
10/2/17,16.58
10/3/17,16.61
10/4/17,16.825
10/5/17,16.66
10/6/17,16.625
10/9/17,16.92
10/10/17,17.12
10/11/17,17.15
10/12/17,17.195
10/13/17,17.2
10/16/17,17.41
10/17/17,17.11
10/18/17,16.95
10/19/17,17.025
10/20/17,17.075
10/23/17,16.995
10/24/17,17.035
10/25/17,16.89
10/26/17,16.97
10/27/17,16.72
10/30/17,16.735
10/31/17,16.82
11/1/17,16.94
11/2/17,17.08
11/3/17,17.085
11/6/17,16.915
11/7/17,17.005
11/8/17,16.995
11/9/17,17.1
11/10/17,17
11/13/17,16.925
11/14/17,16.935
11/15/17,17.115
11/16/17,17.04
11/17/17,17.085
11/20/17,17.145
11/21/17,17
11/22/17,16.965
11/23/17,17.095
11/24/17,17.05
11/27/17,17.1
11/28/17,17.07
11/29/17,16.895
11/30/17,16.57
12/1/17,16.42
12/4/17,16.33
12/5/17,16.285
12/6/17,16.115
12/7/17,15.91
12/8/17,15.825
12/11/17,15.835
12/12/17,15.78
12/13/17,15.705
12/14/17,16.01
12/15/17,15.985
12/18/17,16.09
12/19/17,16.155
12/20/17,16.185
12/21/17,16.145
12/22/17,16.175
12/25/17,.
12/26/17,.
12/27/17,16.5
12/28/17,16.74
12/29/17,16.865
1/1/18,.
1/2/18,17.06
1/3/18,17.125
1/4/18,17.13
1/5/18,17.155
1/8/18,17.17
1/9/18,17.055
1/10/18,17.135
1/11/18,17.01
1/12/18,17.12
1/15/18,17.325
1/16/18,17.095
1/17/18,17.21
1/18/18,17.09
1/19/18,17.04
1/22/18,17.035
1/23/18,16.98
1/24/18,17.19
1/25/18,17.52
1/26/18,17.4
1/29/18,17.335
1/30/18,17.295
1/31/18,17.23
2/1/18,17.19
2/2/18,17.135
2/5/18,16.875
2/6/18,16.805
2/7/18,16.69
2/8/18,16.345
2/9/18,16.355
2/12/18,16.425
2/13/18,16.605
2/14/18,16.58
2/15/18,16.825
2/16/18,16.835
2/19/18,16.72
2/20/18,16.57
2/21/18,16.435
2/22/18,16.465
2/23/18,16.61
2/26/18,16.67
2/27/18,16.61
2/28/18,16.44
3/1/18,16.315
3/2/18,16.445
3/5/18,16.51
3/6/18,16.62
3/7/18,16.645
3/8/18,16.48
3/9/18,16.485
3/12/18,16.455
3/13/18,16.51
3/14/18,16.605
3/15/18,16.52
3/16/18,16.475
3/19/18,16.285
3/20/18,16.25
3/21/18,16.245
3/22/18,16.52
3/23/18,16.53
3/26/18,16.61
3/27/18,16.64
3/28/18,16.455
3/29/18,16.28
3/30/18,.
4/2/18,.
4/3/18,16.52
4/4/18,16.46
4/5/18,16.305
4/6/18,16.275
4/9/18,16.34
4/10/18,16.49
4/11/18,16.565
4/12/18,16.655
4/13/18,16.505
4/16/18,16.6
4/17/18,16.625
4/18/18,16.945
4/19/18,17.195
4/20/18,17.11
4/23/18,16.935
4/24/18,16.595
4/25/18,16.565
4/26/18,16.575
4/27/18,16.53
4/30/18,16.38
5/1/18,16.25
5/2/18,16.35
5/3/18,16.465
5/4/18,16.415
5/7/18,.
5/8/18,16.445
5/9/18,16.44
5/10/18,16.6
5/11/18,16.76
5/14/18,16.645
5/15/18,16.41
5/16/18,16.255
5/17/18,16.385
5/18/18,16.39
5/21/18,16.34
5/22/18,16.58
5/23/18,16.53
5/24/18,16.51
5/25/18,16.67
5/28/18,.
5/29/18,16.475
5/30/18,16.37
5/31/18,16.55
6/1/18,16.42
6/4/18,16.44
6/5/18,16.385
6/6/18,16.545
6/7/18,16.745
6/8/18,16.72
6/11/18,16.76
6/12/18,16.855
6/13/18,16.905
6/14/18,17.125
6/15/18,17.225
6/18/18,16.605
6/19/18,16.355
6/20/18,16.285
6/21/18,16.245
6/22/18,16.425
6/25/18,16.375
6/26/18,16.225
6/27/18,16.21
6/28/18,16.11
6/29/18,16.03
7/2/18,15.98
7/3/18,15.93
7/4/18,16.045
7/5/18,15.95
7/6/18,15.995
7/9/18,16.205
7/10/18,15.93
7/11/18,15.915
7/12/18,15.84
7/13/18,15.81
7/16/18,15.81
7/17/18,15.77
7/18/18,15.44
7/19/18,15.26
7/20/18,15.37
7/23/18,15.485
7/24/18,15.51
7/25/18,15.565
7/26/18,15.535
7/27/18,15.355
7/30/18,15.49
7/31/18,15.43
8/1/18,15.475
8/2/18,15.45
8/3/18,15.36
8/6/18,15.345
8/7/18,15.465
8/8/18,15.345
8/9/18,15.48
8/10/18,15.375
8/13/18,15.185
8/14/18,15.035
8/15/18,14.825
8/16/18,14.605
8/17/18,14.66
8/20/18,14.755
8/21/18,14.785
8/22/18,14.81
8/23/18,14.625
8/24/18,14.62
8/27/18,.
8/28/18,14.9
8/29/18,14.69
8/30/18,14.665
8/31/18,14.655
9/3/18,14.525
9/4/18,14.25
9/5/18,14.17
9/6/18,14.265
9/7/18,14.185
9/10/18,14.215
9/11/18,14.125
9/12/18,14.155
9/13/18,14.225
9/14/18,14.215
9/17/18,14.17
9/18/18,14.21
9/19/18,14.185
9/20/18,14.23
9/21/18,14.33
9/24/18,14.315
9/25/18,14.29
9/26/18,14.475
9/27/18,14.42
9/28/18,14.305
10/1/18,14.55
10/2/18,14.505
10/3/18,14.735
10/4/18,14.63
10/5/18,14.635
10/8/18,14.465
10/9/18,14.325
10/10/18,14.375
10/11/18,14.4
10/12/18,14.6
10/15/18,14.74
10/16/18,14.755
10/17/18,14.65
10/18/18,14.515
10/19/18,14.61
10/22/18,14.63
10/23/18,.
10/24/18,14.745
10/25/18,14.74
10/26/18,14.69
10/29/18,14.65
10/30/18,14.425
10/31/18,14.34
11/1/18,14.45
11/2/18,14.82
11/5/18,14.735
11/6/18,14.7
11/7/18,14.67
11/8/18,14.49
11/9/18,14.34
11/12/18,14.16
11/13/18,14.02
11/14/18,13.97
11/15/18,14.13
11/16/18,14.285
11/19/18,14.36
11/20/18,14.44
11/21/18,14.42
11/22/18,14.52
11/23/18,14.255
11/26/18,14.38
11/27/18,14.275
11/28/18,14.15
11/29/18,14.265
11/30/18,14.235
12/3/18,14.385
12/4/18,14.545
12/5/18,14.48
12/6/18,14.38
12/7/18,14.485
12/10/18,14.53
12/11/18,14.64
12/12/18,14.655
12/13/18,14.68
12/14/18,14.58
12/17/18,14.6
